id,name,name_upper,neighbourhood_group,price
8110,CBG Helps Haiti Rm #2,CBG HELPS HAITI RM #2,Brooklyn,110
8490,"MAISON DES SIRENES1,bohemian apartment","MAISON DES SIRENES1,BOHEMIAN APARTMENT",Brooklyn,120
8505,Sunny Bedroom Across Prospect Park,SUNNY BEDROOM ACROSS PROSPECT PARK,Brooklyn,60
8700,Magnifique Suite au N de Manhattan - vue Cloitres,MAGNIFIQUE SUITE AU N DE MANHATTAN - VUE CLOITRES,Manhattan,80
9357,Midtown Pied-a-terre,MIDTOWN PIED-A-TERRE,Manhattan,150
9518,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM","SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",Manhattan,44
9657,Modern 1 BR / NYC / EAST VILLAGE,MODERN 1 BR / NYC / EAST VILLAGE,Manhattan,180
9668,front room/double bed,FRONT ROOM/DOUBLE BED,Manhattan,50
9704,Spacious 1 bedroom in luxe building,SPACIOUS 1 BEDROOM IN LUXE BUILDING,Manhattan,52
9782,Loft in Williamsburg Area w/ Roof,LOFT IN WILLIAMSBURG AREA W/ ROOF,Brooklyn,55
9783,back room/bunk beds,BACK ROOM/BUNK BEDS,Manhattan,50
10452,Large B&B Style rooms,LARGE B&B STYLE ROOMS,Brooklyn,70
10962,"Lovely room 2 & garden; Best area, Legal rental","LOVELY ROOM 2 & GARDEN; BEST AREA, LEGAL RENTAL",Brooklyn,89
11452,Clean and Quiet in Brooklyn,CLEAN AND QUIET IN BROOKLYN,Brooklyn,35
11708,Cute apt in artist's home,CUTE APT IN ARTIST'S HOME,Brooklyn,85
11943,Country space in the city,COUNTRY SPACE IN THE CITY,Brooklyn,150
12048,LowerEastSide apt share shortterm 1,LOWEREASTSIDE APT SHARE SHORTTERM 1,Manhattan,40
12192,ENJOY Downtown NYC!,ENJOY DOWNTOWN NYC!,Manhattan,68
12299,Beautiful Sunny Park Slope Brooklyn,BEAUTIFUL SUNNY PARK SLOPE BROOKLYN,Brooklyn,120
12303,1bdr w private bath. in lofty apt,1BDR W PRIVATE BATH. IN LOFTY APT,Brooklyn,120
12318,West Side Retreat,WEST SIDE RETREAT,Manhattan,135
12343,BEST BET IN HARLEM,BEST BET IN HARLEM,Manhattan,150
12627,Entire apartment in central Brooklyn neighborhood.,ENTIRE APARTMENT IN CENTRAL BROOKLYN NEIGHBORHOOD.,Brooklyn,150
12937,"1 Stop fr. Manhattan! Private Suite,Landmark Block","1 STOP FR. MANHATTAN! PRIVATE SUITE,LANDMARK BLOCK",Queens,130
12940,Charming Brownstone 3 - Near PRATT,CHARMING BROWNSTONE 3 - NEAR PRATT,Brooklyn,110
13050,bright and stylish duplex,BRIGHT AND STYLISH DUPLEX,Brooklyn,115
13394,Fort Greene brownstone ,FORT GREENE BROWNSTONE ,Brooklyn,80
13808,Blue Room for 2 in Brownstone for $1350 monthly,BLUE ROOM FOR 2 IN BROWNSTONE FOR $1350 MONTHLY,Brooklyn,80
14287,Cozy 1BD on Central Park West in New York City,COZY 1BD ON CENTRAL PARK WEST IN NEW YORK CITY,Manhattan,151
14290,* ORIGINAL BROOKLYN LOFT *,* ORIGINAL BROOKLYN LOFT *,Brooklyn,228
14314,Greenpoint Place...Has It All! ,GREENPOINT PLACE...HAS IT ALL! ,Brooklyn,144
14322,Beautiful Apartment in Manhattan!!!,BEAUTIFUL APARTMENT IN MANHATTAN!!!,Manhattan,200
14377,Williamsburg 1 bedroom Apartment,WILLIAMSBURG 1 BEDROOM APARTMENT,Brooklyn,150
14991,"Great Location, Manhattan Bedroom!","GREAT LOCATION, MANHATTAN BEDROOM!",Manhattan,110
15220,Best Location in NYC! TIMES SQUARE!,BEST LOCATION IN NYC! TIMES SQUARE!,Manhattan,69
15338,Room in Greenpoint Loft w/ Roof,ROOM IN GREENPOINT LOFT W/ ROOF,Brooklyn,49
15341,**Bright Nolita Apt w Doorman/Elevators/Gym**,**BRIGHT NOLITA APT W DOORMAN/ELEVATORS/GYM**,Manhattan,180
15385,"Very, very cozy place","VERY, VERY COZY PLACE",Brooklyn,80
15396,Sunny & Spacious Chelsea Apartment,SUNNY & SPACIOUS CHELSEA APARTMENT,Manhattan,375
15711,2 bedroom - Upper East Side-great for kids,2 BEDROOM - UPPER EAST SIDE-GREAT FOR KIDS,Manhattan,250
16326,Comfortable 4-bedroom apt in family house.,COMFORTABLE 4-BEDROOM APT IN FAMILY HOUSE.,Brooklyn,200
16338,Double Room w Private Deck Clinton Hill Best Area,DOUBLE ROOM W PRIVATE DECK CLINTON HILL BEST AREA,Brooklyn,55
16421,Your Heaven in Hells Kitchen,YOUR HEAVEN IN HELLS KITCHEN,Manhattan,52
16458,Light-filled 2B duplex in the heart of Park Slope!,LIGHT-FILLED 2B DUPLEX IN THE HEART OF PARK SLOPE!,Brooklyn,225
16580,"Sunny, Modern room in East Village!","SUNNY, MODERN ROOM IN EAST VILLAGE!",Manhattan,80
16595,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,*HAVEN LOFT - ENTIRE FLOOR - SIX WINDOWS - BRICKS*,Brooklyn,275
16821,Large Room in Amazing East Village Apt,LARGE ROOM IN AMAZING EAST VILLAGE APT,Manhattan,99
16974,SpaHa Loft: Enormous and Bright,SPAHA LOFT: ENORMOUS AND BRIGHT,Manhattan,225
17037,Lovely EV Artist's Home,LOVELY EV ARTIST'S HOME,Manhattan,230
17092,Cool Room in Hell's Kitchen,COOL ROOM IN HELL'S KITCHEN,Manhattan,51
17693,"HARLEM, NEW YORK WELCOMES YOU!!","HARLEM, NEW YORK WELCOMES YOU!!",Manhattan,65
17747,BLUE TRIM GUEST HOUSE,BLUE TRIM GUEST HOUSE,Brooklyn,105
18127,Charming East Village One Bedroom Flat,CHARMING EAST VILLAGE ONE BEDROOM FLAT,Manhattan,190
18152,Manhattan Room,MANHATTAN ROOM,Manhattan,200
18198,Little King of Queens,LITTLE KING OF QUEENS,Queens,70
18590,Fort Greene Retreat on the Park,FORT GREENE RETREAT ON THE PARK,Brooklyn,95
18728,Beautiful Meatpacking District Loft,BEAUTIFUL MEATPACKING DISTRICT LOFT,Manhattan,150
18764,Cozy 2 BR in Williamsburg ,COZY 2 BR IN WILLIAMSBURG ,Brooklyn,145
19159,Spacious luminous apt Upper West NYC,SPACIOUS LUMINOUS APT UPPER WEST NYC,Manhattan,110
19169,Entire 2 Bedroom - Large & Sunny,ENTIRE 2 BEDROOM - LARGE & SUNNY,Manhattan,285
19282,"Sunny, Spacious Top Floor Haven","SUNNY, SPACIOUS TOP FLOOR HAVEN",Brooklyn,130
19319,Private room Great Deal at Lower East Side,PRIVATE ROOM GREAT DEAL AT LOWER EAST SIDE,Manhattan,94
19601,perfect for a family or small group,PERFECT FOR A FAMILY OR SMALL GROUP,Brooklyn,800
19812,2 bedroom Williamsburg Apt - Bedford L stop,2 BEDROOM WILLIAMSBURG APT - BEDFORD L STOP,Brooklyn,105
20299,Oh glorious spring!,OH GLORIOUS SPRING!,Manhattan,60
20300,Great Location for NYC,GREAT LOCATION FOR NYC,Manhattan,50
20611,Cozy Bedroom in Williamsburg 3 BR,COZY BEDROOM IN WILLIAMSBURG 3 BR,Brooklyn,85
20724,Sunny room+Pvte office in huge loft,SUNNY ROOM+PVTE OFFICE IN HUGE LOFT,Brooklyn,65
20734,Spacious Prospect Heights Apartment,SPACIOUS PROSPECT HEIGHTS APARTMENT,Brooklyn,131
20755,"Large Parlor Room, Landmark Home 1 block to PRATT","LARGE PARLOR ROOM, LANDMARK HOME 1 BLOCK TO PRATT",Brooklyn,98
20853,2-bed brownstone duplex + garden,2-BED BROWNSTONE DUPLEX + GARDEN,Brooklyn,250
20913,Charming 1 bed GR8 WBurg LOCATION!,CHARMING 1 BED GR8 WBURG LOCATION!,Brooklyn,100
21293,Sunny Apartment in Artist Home,SUNNY APARTMENT IN ARTIST HOME,Brooklyn,105
21456,Light-filled classic Central Park ,LIGHT-FILLED CLASSIC CENTRAL PARK ,Manhattan,140
21644,"Upper Manhattan, New York","UPPER MANHATTAN, NEW YORK",Manhattan,89
21794,COZY QUIET room 4 DOOGLERS!,COZY QUIET ROOM 4 DOOGLERS!,Manhattan,98
22911,The Stuydio Modern and Light Filled,THE STUYDIO MODERN AND LIGHT FILLED,Brooklyn,125
22918,loft bed - near transportation-15min to times sq,LOFT BED - NEAR TRANSPORTATION-15MIN TO TIMES SQ,Manhattan,60
23135,House On Henry (3rd FLR Suite),HOUSE ON HENRY (3RD FLR SUITE),Brooklyn,175
23501,Monkey Retreat Manhattan,MONKEY RETREAT MANHATTAN,Manhattan,65
23686,2000 SF 3br 2bath West Village private  townhouse,2000 SF 3BR 2BATH WEST VILLAGE PRIVATE  TOWNHOUSE,Manhattan,500
24143,"Williamsburg—Steps To Subway, Private Bath&Balcony","WILLIAMSBURG—STEPS TO SUBWAY, PRIVATE BATH&BALCONY",Brooklyn,101
24285,Beautiful Duplex Apartment,BEAUTIFUL DUPLEX APARTMENT,Brooklyn,220
25235,Large 2 Bedroom Great for Groups!,LARGE 2 BEDROOM GREAT FOR GROUPS!,Brooklyn,125
25406,"Modern Brooklyn Apt., August sublet","MODERN BROOKLYN APT., AUGUST SUBLET",Brooklyn,80
25696,"1,800 sq foot in luxury building","1,800 SQ FOOT IN LUXURY BUILDING",Manhattan,100
26012,Sunny 2-story Brooklyn townhouse w deck and garden,SUNNY 2-STORY BROOKLYN TOWNHOUSE W DECK AND GARDEN,Brooklyn,200
26362,"Times Square, Safe, Clean and Cozy!","TIMES SQUARE, SAFE, CLEAN AND COZY!",Manhattan,59
26520,"Cozy Room #3, Landmark Home 1 Block to PRATT","COZY ROOM #3, LANDMARK HOME 1 BLOCK TO PRATT",Brooklyn,125
26559,Beautiful Apartment East Village,BEAUTIFUL APARTMENT EAST VILLAGE,Manhattan,140
26785,Park Slope Green Guest House,PARK SLOPE GREEN GUEST HOUSE,Brooklyn,120
26933,2 BR / 2 Bath Duplex Apt with patio! East Village,2 BR / 2 BATH DUPLEX APT WITH PATIO! EAST VILLAGE,Manhattan,350
26954,NYC fabulous views Manhattan's eye,NYC FABULOUS VIEWS MANHATTAN'S EYE,Manhattan,199
26969,2 story family home in Williamsburg,2 STORY FAMILY HOME IN WILLIAMSBURG,Brooklyn,325
27006,Comfortable UWS 2-BD Family-Friendly Brownstone,COMFORTABLE UWS 2-BD FAMILY-FRIENDLY BROWNSTONE,Manhattan,235
27385,Great Large 1 BR apt  in East Village!,GREAT LARGE 1 BR APT  IN EAST VILLAGE!,Manhattan,225
27531,Eveland Private Bed & Living Room w/ Own Entrance,EVELAND PRIVATE BED & LIVING ROOM W/ OWN ENTRANCE,Brooklyn,99
27644,Sugar Hill Rest Stop ,SUGAR HILL REST STOP ,Manhattan,170
27659,3 Story Town House in Park Slope,3 STORY TOWN HOUSE IN PARK SLOPE,Brooklyn,400
27759,apartment next to Central park,APARTMENT NEXT TO CENTRAL PARK,Manhattan,170
27883,East Village Sanctuary,EAST VILLAGE SANCTUARY,Manhattan,100
28321,Large 1  BR in a 3 BR Brooklyn apt. next to Q Trn.,LARGE 1  BR IN A 3 BR BROOKLYN APT. NEXT TO Q TRN.,Brooklyn,75
28396,Modern Apt with Spectacular Views,MODERN APT WITH SPECTACULAR VIEWS,Brooklyn,90
28907,Garden studio in the Upper East Sid,GARDEN STUDIO IN THE UPPER EAST SID,Manhattan,150
29012,Secluded Master Bedroom in Beautiful Huge Apt,SECLUDED MASTER BEDROOM IN BEAUTIFUL HUGE APT,Manhattan,85
29013,B & B Room 1,B & B ROOM 1,Brooklyn,70
29455,ACCOMMODATIONS GALORE #1,ACCOMMODATIONS GALORE #1,Manhattan,120
29628,Sunny Room in New Condo,SUNNY ROOM IN NEW CONDO,Brooklyn,89
29683,Stylish & Sleek Apartment Near SoHo!,STYLISH & SLEEK APARTMENT NEAR SOHO!,Manhattan,185
30031,NYC artists’ loft with roof deck,NYC ARTISTS’ LOFT WITH ROOF DECK,Brooklyn,50
30927,Unique & Charming small 1br Apt. LES,UNIQUE & CHARMING SMALL 1BR APT. LES,Manhattan,105
31130,Most Central Location!,MOST CENTRAL LOCATION!,Manhattan,130
31555,Luminous Beautiful West Village Studio,LUMINOUS BEAUTIFUL WEST VILLAGE STUDIO,Manhattan,115
31902,Sanctuary in East Flatbush,SANCTUARY IN EAST FLATBUSH,Brooklyn,77
31994,Room with En Suite Bathroom & Deck,ROOM WITH EN SUITE BATHROOM & DECK,Brooklyn,76
32023,FLAT MACDONOUGH,FLAT MACDONOUGH,Brooklyn,125
32037,Huge Private  Floor at The Waverly,HUGE PRIVATE  FLOOR AT THE WAVERLY,Brooklyn,135
32100,"Modern Greenpoint, Brooklyn Apt","MODERN GREENPOINT, BROOKLYN APT",Brooklyn,250
32289,"Sun-drenched, artsy modernist 1 BDRM duplex","SUN-DRENCHED, ARTSY MODERNIST 1 BDRM DUPLEX",Brooklyn,199
32331,"Sunny, Cobble Hill Apartment","SUNNY, COBBLE HILL APARTMENT",Brooklyn,140
32363,Fully Furnished Basement Apartment,FULLY FURNISHED BASEMENT APARTMENT,Queens,140
32965,FLAT MACDONOUGH GARDEN,FLAT MACDONOUGH GARDEN,Brooklyn,115
32969,Light filled Williamsburg Apartment,LIGHT FILLED WILLIAMSBURG APARTMENT,Brooklyn,160
33009,Retreat in Williamsburg,RETREAT IN WILLIAMSBURG,Brooklyn,195
33014,NYC Zen,NYC ZEN,Manhattan,195
33223,Cozy BR in Wiliamsburg 3 Bedroom,COZY BR IN WILIAMSBURG 3 BEDROOM,Brooklyn,80
34760,Sunny Room in Old Historical Brooklyn Townhouse,SUNNY ROOM IN OLD HISTORICAL BROOKLYN TOWNHOUSE,Brooklyn,44
35526,Sun Filled Classic West Village Apt,SUN FILLED CLASSIC WEST VILLAGE APT,Manhattan,156
36121,Lg Rm in Historic Prospect Heights,LG RM IN HISTORIC PROSPECT HEIGHTS,Brooklyn,85
36133,Classic Artist Loft Williamsburg,CLASSIC ARTIST LOFT WILLIAMSBURG,Brooklyn,125
36442,Great location. Spacious on PROSPECT PARK,GREAT LOCATION. SPACIOUS ON PROSPECT PARK,Brooklyn,115
36647,Private Bdrm/Bathrm. New! Elevator!,PRIVATE BDRM/BATHRM. NEW! ELEVATOR!,Manhattan,69
36703,"Sunny, clean 1 bdrm in W. Village","SUNNY, CLEAN 1 BDRM IN W. VILLAGE",Manhattan,225
36934,Great location in Williamsburg,GREAT LOCATION IN WILLIAMSBURG,Brooklyn,125
38638,Light and Airy Upper East Side 1 BDR apartment,LIGHT AND AIRY UPPER EAST SIDE 1 BDR APARTMENT,Manhattan,219
38663,Luxury Brownstone in Boerum Hill,LUXURY BROWNSTONE IN BOERUM HILL,Brooklyn,475
39267,CENTRAL PARK LOFT all for YOU,CENTRAL PARK LOFT ALL FOR YOU,Manhattan,99
39282,Indie-Chic Share In Williamsburg,INDIE-CHIC SHARE IN WILLIAMSBURG,Brooklyn,69
39593,"A room w/ a Manhattan view, longer stay","A ROOM W/ A MANHATTAN VIEW, LONGER STAY",Queens,79
39704,"Private, Large & Sunny 1BR w/W&D","PRIVATE, LARGE & SUNNY 1BR W/W&D",Brooklyn,135
40039,Luxurious Condo in DUBMO with View,LUXURIOUS CONDO IN DUBMO WITH VIEW,Brooklyn,250
40453,Charming & Cozy midtown loft any WEEK ENDS  !!!,CHARMING & COZY MIDTOWN LOFT ANY WEEK ENDS  !!!,Manhattan,250
41348,* Spacious GARDEN Park Slope Duplex* 6 people max,* SPACIOUS GARDEN PARK SLOPE DUPLEX* 6 PEOPLE MAX,Brooklyn,250
41513,Convenient cozy cheap apt Manhattan,CONVENIENT COZY CHEAP APT MANHATTAN,Manhattan,80
42580,Parlor Room In Victorian Townhouse,PARLOR ROOM IN VICTORIAN TOWNHOUSE,Brooklyn,70
42729,House On Henry (2nd FLR Suite),HOUSE ON HENRY (2ND FLR SUITE),Brooklyn,165
42882,New York room with a view,NEW YORK ROOM WITH A VIEW,Staten Island,70
43957,Sunny cozy room in Brklyn townhouse,SUNNY COZY ROOM IN BRKLYN TOWNHOUSE,Brooklyn,50
44096,Room with a View,ROOM WITH A VIEW,Bronx,40
44161,Light+Open+Airy+Rustic+Modern Loft,LIGHT+OPEN+AIRY+RUSTIC+MODERN LOFT,Brooklyn,150
44212,West Inn 2 - East Village,WEST INN 2 - EAST VILLAGE,Manhattan,125
44221,Financial District Luxury Loft,FINANCIAL DISTRICT LUXURY LOFT,Manhattan,196
44229,BROOKLYN VICTORIAN STYLE SUITE.....,BROOKLYN VICTORIAN STYLE SUITE.....,Brooklyn,110
44288,Your own Lovely West Village Studio,YOUR OWN LOVELY WEST VILLAGE STUDIO,Manhattan,170
44506,ACCOMMODATIONS GALORE#3. 1-5 GUESTS,ACCOMMODATIONS GALORE#3. 1-5 GUESTS,Manhattan,165
45393,Greenwich Village Stylish Apartment,GREENWICH VILLAGE STYLISH APARTMENT,Manhattan,150
45542,Clean and Cozy Harlem Apartment,CLEAN AND COZY HARLEM APARTMENT,Manhattan,100
45556,"Fort Greene, Brooklyn: Center Bedroom","FORT GREENE, BROOKLYN: CENTER BEDROOM",Brooklyn,65
45910,Beautiful Queens Brownstone! - 5BR,BEAUTIFUL QUEENS BROWNSTONE! - 5BR,Queens,350
45936,Couldn't Be Closer To Columbia Uni,COULDN'T BE CLOSER TO COLUMBIA UNI,Manhattan,99
45940,Bright Spacious Luxury Condo,BRIGHT SPACIOUS LUXURY CONDO,Brooklyn,200
46544,Park Slope haven 15 mins from Soho,PARK SLOPE HAVEN 15 MINS FROM SOHO,Brooklyn,150
46723,SAFE  AND BEAUTIFUL ACCOMODATION,SAFE  AND BEAUTIFUL ACCOMODATION,Brooklyn,90
46911,Large Room in private Brownstone in Park Slope,LARGE ROOM IN PRIVATE BROWNSTONE IN PARK SLOPE,Brooklyn,120
47199,"NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)","NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)",Manhattan,75
47362,"LARGE, COMFY 1BDR W/CHARACTER!!!","LARGE, COMFY 1BDR W/CHARACTER!!!",Brooklyn,175
47370,Chelsea Studio sublet 1 - 2 months,CHELSEA STUDIO SUBLET 1 - 2 MONTHS,Manhattan,125
47926,LUX APT IN TIMES SQUARE NEW BUILDING,LUX APT IN TIMES SQUARE NEW BUILDING,Manhattan,275
48719,Designer 1 BR Duplex w/ Terrace- Spectacular Views,DESIGNER 1 BR DUPLEX W/ TERRACE- SPECTACULAR VIEWS,Manhattan,299
50447,Lovely Apt & Garden;  Legal;  Best Area; Amenities,LOVELY APT & GARDEN;  LEGAL;  BEST AREA; AMENITIES,Brooklyn,135
51438,1 Bedroom in 2 Bdrm Apt- Upper East,1 BEDROOM IN 2 BDRM APT- UPPER EAST,Manhattan,130
51485,Lower East Side $57~/night,LOWER EAST SIDE $57~/NIGHT,Manhattan,83
51572,Prime Location in Manhattan,PRIME LOCATION IN MANHATTAN,Manhattan,123
51850,( F) Excellent/Pvt Rm,( F) EXCELLENT/PVT RM,Queens,55
53137,"Quiet, sunny Midtown Manhattan apt.","QUIET, SUNNY MIDTOWN MANHATTAN APT.",Manhattan,195
53196,Big Room/Washer-Dryer/Wifi/AC/JMZ,BIG ROOM/WASHER-DRYER/WIFI/AC/JMZ,Brooklyn,80
53469,cozy studio with parking spot,COZY STUDIO WITH PARKING SPOT,Queens,98
53470,Clean and convenient 2BR apartment,CLEAN AND CONVENIENT 2BR APARTMENT,Queens,140
53477,3 floors of luxury!,3 FLOORS OF LUXURY!,Queens,265
54158,The Institute—Heart of Williamsburg,THE INSTITUTE—HEART OF WILLIAMSBURG,Brooklyn,249
54453,MIDTOWN WEST - Large alcove studio,MIDTOWN WEST - LARGE ALCOVE STUDIO,Manhattan,105
54466,Beautiful Uptown Manhattan apartmnt,BEAUTIFUL UPTOWN MANHATTAN APARTMNT,Manhattan,200
54508,Sml Rm in pr Brst  Park Sl great for Med/students,SML RM IN PR BRST  PARK SL GREAT FOR MED/STUDENTS,Brooklyn,100
54544,City Room - Private Penthouse Apt.,CITY ROOM - PRIVATE PENTHOUSE APT.,Manhattan,121
54626,Cozy bedroom by Yankee Stadium,COZY BEDROOM BY YANKEE STADIUM,Bronx,45
54860,Great apartment with private bathroom and entrance,GREAT APARTMENT WITH PRIVATE BATHROOM AND ENTRANCE,Manhattan,100
55467,Private Garden Apt • New Renovation,PRIVATE GARDEN APT • NEW RENOVATION,Brooklyn,140
55498,Modern comfort in art infused landmark Brownstone,MODERN COMFORT IN ART INFUSED LANDMARK BROWNSTONE,Brooklyn,71
55668,"NOHO/EAST VILLAGE, PRIVATE 1/2 BATH","NOHO/EAST VILLAGE, PRIVATE 1/2 BATH",Manhattan,130
55737,Sleek & Comfortable Soho Apt,SLEEK & COMFORTABLE SOHO APT,Manhattan,199
55959,Spacious Williamsburg Share w/ LOFT BED,SPACIOUS WILLIAMSBURG SHARE W/ LOFT BED,Brooklyn,69
55982,Cozy 2 br in sunny Fort Greene apt,COZY 2 BR IN SUNNY FORT GREENE APT,Brooklyn,68
56467,Cozy East Village Railroad 1 Bed!,COZY EAST VILLAGE RAILROAD 1 BED!,Manhattan,130
56525,1 Bedroom Loft w/ Private Roof Deck,1 BEDROOM LOFT W/ PRIVATE ROOF DECK,Brooklyn,195
56859,City Room - Private & Comfy Bedroom,CITY ROOM - PRIVATE & COMFY BEDROOM,Manhattan,64
57166,Elegant NYC Pad,ELEGANT NYC PAD,Queens,140
57297,"Clean & bright 1BR in Cobble Hill, GREAT location!","CLEAN & BRIGHT 1BR IN COBBLE HILL, GREAT LOCATION!",Brooklyn,159
57468,"Modern, Large East Village Loft","MODERN, LARGE EAST VILLAGE LOFT",Manhattan,189
57618,"Great new apt, close to everything","GREAT NEW APT, CLOSE TO EVERYTHING",Manhattan,250
57740,Quiet & Clean Retreat in the City,QUIET & CLEAN RETREAT IN THE CITY,Manhattan,239
57754,Stylish Large Gramercy Loft!,STYLISH LARGE GRAMERCY LOFT!,Manhattan,305
57874,The Brownstone-Luxury 1 Bd Apt/NYC,THE BROWNSTONE-LUXURY 1 BD APT/NYC,Manhattan,155
58059,PRIVATE Room on Historic Sugar Hill,PRIVATE ROOM ON HISTORIC SUGAR HILL,Manhattan,60
58062,South Slope Green,SOUTH SLOPE GREEN,Brooklyn,135
58467,"17 Flr. Manhattan Views, Nr. Subway","17 FLR. MANHATTAN VIEWS, NR. SUBWAY",Manhattan,120
59014,"Spacious 1BR, Adorable Clean Quiet","SPACIOUS 1BR, ADORABLE CLEAN QUIET",Manhattan,150
59121,"Nice, clean, safe, convenient 3BR","NICE, CLEAN, SAFE, CONVENIENT 3BR",Queens,140
59642,Franklin St Flat in Trendy Greenpoint Brooklyn,FRANKLIN ST FLAT IN TRENDY GREENPOINT BROOKLYN,Brooklyn,135
59709,"Artistic, Cozy, and Spacious w/ Patio! Sleeps 5","ARTISTIC, COZY, AND SPACIOUS W/ PATIO! SLEEPS 5",Manhattan,250
59855,One bedroom Apt. in NYC,ONE BEDROOM APT. IN NYC,Manhattan,250
60164,"Beautiful, elegant 3 bed SOHO loft","BEAUTIFUL, ELEGANT 3 BED SOHO LOFT",Manhattan,500
60457,Spacious Greenwich Village Apt,SPACIOUS GREENWICH VILLAGE APT,Manhattan,225
60611,SpaHa Studio Monthly Rental,SPAHA STUDIO MONTHLY RENTAL,Manhattan,125
60666,City Room - Private Luxury Suite,CITY ROOM - PRIVATE LUXURY SUITE,Manhattan,92
60673,Private Room/bath Luxurious Harlem,PRIVATE ROOM/BATH LUXURIOUS HARLEM,Manhattan,175
60680,The gem of the East Village,THE GEM OF THE EAST VILLAGE,Manhattan,99
60794,"Bright and spacious, garden below!","BRIGHT AND SPACIOUS, GARDEN BELOW!",Manhattan,195
60948,ACCOMMODATIONS GALORE #2,ACCOMMODATIONS GALORE #2,Manhattan,140
61167,Colorful Private One Bedroom Apt,COLORFUL PRIVATE ONE BEDROOM APT,Manhattan,135
61224,Huge Chelsea Loft,HUGE CHELSEA LOFT,Manhattan,500
61406,Great room in great location,GREAT ROOM IN GREAT LOCATION,Manhattan,80
61492,Exclusive Room with Private Bath in  LES,EXCLUSIVE ROOM WITH PRIVATE BATH IN  LES,Manhattan,120
61509,"Quiet, clean midtown apt w. elevato","QUIET, CLEAN MIDTOWN APT W. ELEVATO",Manhattan,110
62095,BK Sweet Suite w/Kitchen&FullBath,BK SWEET SUITE W/KITCHEN&FULLBATH,Brooklyn,65
62427,Great East Village Apartment Rental,GREAT EAST VILLAGE APARTMENT RENTAL,Manhattan,130
62430,BROWNSTONE SUNDRENCHED BEAUTY,BROWNSTONE SUNDRENCHED BEAUTY,Brooklyn,99
62452,A SpeciaL!! Private Room in NY,A SPECIAL!! PRIVATE ROOM IN NY,Staten Island,36
62461,B NYC Staten Alternative...,B NYC STATEN ALTERNATIVE...,Staten Island,37
62787,C Private Room By The Ferry,C PRIVATE ROOM BY THE FERRY,Staten Island,37
62891,Smallest House In The Village,SMALLEST HOUSE IN THE VILLAGE,Manhattan,175
62903,Beautiful modern studio apartment in heart of NYC,BEAUTIFUL MODERN STUDIO APARTMENT IN HEART OF NYC,Manhattan,205
